Scenario,urn,accyr,LAName,Age
EnteringLeft,200606L054501,2006,Wigan,6
EnteringLeft,201022E001455,2010,Herefordshire,9
EnteringLeft,2.01E+12,2010,East Sussex,9
EnteringLeft,20053102C0754,2005,Nottingham,10
EnteringLeft,2.01E+12,2008,Cumbria,11
EnteringLeft,2.01E+16,2011,Leicestershire,12
EnteringLeft,2.01E+12,2005,Peterborough,13
EnteringLeft,2.01E+12,2008,Leicestershire,14
EnteringLeft,2.01E+16,2011,Leicestershire,14
EnteringLeft,200732D127807,2007,Lincolnshire,16
EnteringLeft,2.01E+16,2012,Southampton ,16
EnteringLeft,2011201131D196911,2011,Nottinghamshire,17
EnteringLeft,2008160A04750,2008,North East Lincolnshire,19
EnteringLeft,200830D000536,2008,Derby,19
EnteringLeft,2.01E+12,2008,Norfolk,19
EnteringLeft,20093102C1505,2009,Nottingham,31
EnteringLeft,2.01E+12,2010,Norfolk,59
